City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Chuy,UY,-33.6971,-53.4616,83.3,46,0,10.29,clear sky
211,Hailar,CN,49.2,119.7,-13.88,86,20,3.8,few clouds
212,Kidal,ML,18.4411,1.4078,76.68,16,25,10.11,scattered clouds
213,Dikson,RU,73.5069,80.5464,-29.56,86,85,10.33,overcast clouds
214,Gudur,IN,14.1333,79.85,68.18,78,17,4.74,few clouds
215,Maragogi,BR,-9.0122,-35.2225,83.05,65,58,13.4,broken clouds
216,Aswan,EG,24.0934,32.907,65.16,29,0,9.95,clear sky
217,Byron Bay,AU,-28.65,153.6167,69.8,94,90,3.44,overcast clouds
218,Vitim,RU,59.4511,112.5578,3.78,92,100,5.57,overcast clouds
219,Nedjo,ET,9.5046,35.5019,59.43,32,100,6.76,overcast clouds
220,Mount Gambier,AU,-37.8333,140.7667,55.4,88,90,10.36,overcast clouds
221,Ahipara,NZ,-35.1667,173.1667,60.01,85,87,5.44,overcast clouds
222,Adrar,MR,20.5022,-10.0711,63.61,30,0,10.6,clear sky
223,Bac Lieu,VN,9.285,105.7244,75.47,82,96,10.51,overcast clouds
224,Monrovia,LR,6.3005,-10.7969,78.8,94,75,3.44,broken clouds
225,Evans,US,33.5337,-82.1307,51.01,46,100,1.01,light rain
226,Rumoi,JP,43.9344,141.6428,21.7,93,91,1.25,overcast clouds
227,Poum,NC,-20.2333,164.0167,79.9,66,0,2.82,clear sky
228,Mindelo,CV,16.8901,-24.9804,71.6,56,75,29.93,broken clouds
229,Sheopur,IN,25.6667,76.7,55.94,42,0,5.41,clear sky
230,Atambua,ID,-9.1061,124.8925,73.4,90,100,1.48,overcast clouds
231,Landeck,AT,47.1301,10.5636,41.0,93,40,9.22,scattered clouds
232,Maniitsoq,GL,65.4167,-52.9,25.16,79,0,20.02,clear sky
233,Leh,IN,34.1667,77.5833,5.94,53,0,1.99,clear sky
234,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,75,20,29.93,few clouds
