City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Arlit,NE,69.1,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
361,Bonthe,SL,80.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
362,Mbandaka,CD,78.55,clear sky,0.0487,18.2603,Guest House Epervier
364,Lakatoro,VU,78.44,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
365,Vanimo,PG,76.87,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
366,Lorengau,PG,81.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
368,Xalpatlahuac,MX,81.93,clear sky,17.4667,-98.6167,Hotel Villarreal
369,Kirakira,SB,79.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
370,Belize,BZ,86.0,clear sky,17.25,-88.75,Villa San Juan
371,Veraval,IN,69.62,clear sky,20.9,70.3667,Lords Inn Somnath
372,Lagoa,PT,59.99,overcast clouds,39.05,-27.9833,Casa Das Faias
373,Casma,CL,80.6,clear sky,-41.0082,-73.1244,Hospedaje Casma
374,Tortoli,IT,55.4,fog,39.9256,9.6572,Hotel La Bitta
375,Jiaonan,CN,46.99,clear sky,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
376,Alugan,PH,78.91,scattered clouds,12.2188,125.4808,JM Lodge
378,Brufut,GM,78.8,overcast clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
380,Hasaki,JP,37.4,fog,35.7333,140.8333,Inubosaki Kanko Hotel
382,Augusto Correa,BR,86.85,broken clouds,-1.0217,-46.635,Fazenda Bacuri
383,Ishinomaki,JP,42.04,broken clouds,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
384,Baie-Comeau,CA,28.4,haze,49.2168,-68.1489,Travelodge by Wyndham Baie Comeau
387,Chardara,KZ,50.2,light rain,41.2547,67.9692,Жанаргул
388,Ijui,BR,77.0,few clouds,-28.3878,-53.9147,Hotel Vera Cruz
