City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Hilo,US,2021-02-05 23:57:53,19.7297,-155.09,78.8,57,1,11.5
152,Zinder,NE,2021-02-05 23:57:53,13.8072,8.9881,66.6,23,0,11.99
153,Bredasdorp,ZA,2021-02-05 23:57:53,-34.5322,20.0403,60.8,94,13,2.3
154,Nanortalik,GL,2021-02-05 23:57:53,60.1432,-45.2371,20.19,73,0,3.89
155,Dikson,RU,2021-02-05 23:57:53,73.5069,80.5464,-32.1,84,5,11.01
156,Ixtapa,MX,2021-02-05 23:57:54,20.7,-105.2,75.2,69,1,9.22
157,Bud,US,2021-02-05 23:57:54,39.447,-86.1758,30.99,72,56,9.42
158,Sao Filipe,CV,2021-02-05 23:57:54,14.8961,-24.4956,69.42,77,25,12.19
159,Galeana,MX,2021-02-05 23:57:54,24.8333,-100.0667,61.03,49,4,2.91
160,Phek,IN,2021-02-05 23:57:54,25.6667,94.5,39.45,99,21,1.83
161,Matadi,CD,2021-02-05 23:57:54,-5.8167,13.45,77.18,87,89,2.77
162,Souillac,MU,2021-02-05 23:54:17,-20.5167,57.5167,77.0,83,75,3.44
163,Urumqi,CN,2021-02-05 23:53:36,43.801,87.6005,8.6,85,28,3.83
164,Ghanzi,BW,2021-02-05 23:57:55,-21.5667,21.7833,68.77,94,100,9.89
165,Port Shepstone,ZA,2021-02-05 23:57:55,-30.7414,30.455,73.69,81,59,3.18
166,Canutama,BR,2021-02-05 23:57:55,-6.5339,-64.3831,74.7,96,100,1.88
167,Richards Bay,ZA,2021-02-05 23:57:55,-28.783,32.0377,75.43,91,98,2.17
168,Narsaq,GL,2021-02-05 23:57:55,60.9167,-46.05,17.6,49,0,2.3
169,Beringovskiy,RU,2021-02-05 23:54:39,63.05,179.3167,-5.44,88,100,8.21
170,Oranjemund,NA,2021-02-05 23:57:56,-28.55,16.4333,61.92,91,3,8.66
171,Khatanga,RU,2021-02-05 23:54:07,71.9667,102.5,-33.2,79,20,7.67
172,San Quintin,MX,2021-02-05 23:57:56,30.4833,-115.95,60.64,72,0,13.42
173,Trincomalee,LK,2021-02-05 23:57:56,8.5711,81.2335,77.67,82,67,12.03
174,Casablanca,MA,2021-02-05 23:55:02,33.5928,-7.6192,55.0,93,75,6.91
175,Isangel,VU,2021-02-05 23:55:17,-19.55,169.2667,84.2,79,20,3.44
176,Handan,CN,2021-02-05 23:57:56,36.6006,114.4678,48.42,42,0,11.48
177,Bandarbeyla,SO,2021-02-05 23:57:57,9.4942,50.8122,73.47,71,17,8.95
178,Hithadhoo,MV,2021-02-05 23:54:02,-0.6,73.0833,82.2,79,100,13.29
179,Kano,NG,2021-02-05 23:56:57,12.0001,8.5167,64.4,45,0,3.44
180,Mendi,PG,2021-02-05 23:57:57,-6.1761,143.6513,66.27,69,99,2.13
181,Bathsheba,BB,2021-02-05 23:55:26,13.2167,-59.5167,78.8,65,40,18.41
182,Martapura,ID,2021-02-05 23:57:57,-3.4167,114.85,75.2,94,20,3.44
183,Carira,BR,2021-02-05 23:57:57,-10.3608,-37.7011,76.01,74,40,12.91
184,Constitucion,CL,2021-02-05 23:55:56,-35.3333,-72.4167,58.01,87,18,1.59
185,Diego De Almagro,CL,2021-02-05 23:57:58,-26.3667,-70.05,65.34,38,0,4.05
186,Borba,BR,2021-02-05 23:57:58,-4.3878,-59.5939,78.82,84,59,1.88
187,Xai-Xai,MZ,2021-02-05 23:57:58,-25.0519,33.6442,77.34,87,99,6.33
188,Dickinson,US,2021-02-05 23:57:58,29.4608,-95.0513,53.01,81,90,11.5
189,Port Hardy,CA,2021-02-05 23:55:51,50.6996,-127.4199,44.6,70,75,8.05
190,Bua Yai,TH,2021-02-05 23:57:59,15.5855,102.4259,62.62,84,0,6.89
191,Batemans Bay,AU,2021-02-05 23:57:59,-35.7167,150.1833,72.0,90,100,14.0
192,Faanui,PF,2021-02-05 23:54:47,-16.4833,-151.75,81.57,63,2,3.91
193,Provideniya,RU,2021-02-05 23:54:41,64.3833,-173.3,8.22,92,100,11.05
194,Bukama,CD,2021-02-05 23:57:59,-9.2,25.85,71.2,93,99,2.01
195,Ostrovnoy,RU,2021-02-05 23:57:59,68.0531,39.5131,13.75,91,100,11.34
196,Ketchikan,US,2021-02-05 23:54:33,55.3422,-131.6461,37.4,87,90,4.61
197,Arman,RU,2021-02-05 23:58:00,59.7,150.1667,-5.35,82,72,11.05
198,Mazamari,PE,2021-02-05 23:58:00,-11.3258,-74.5308,72.7,82,100,0.89
199,Diu,IN,2021-02-05 23:58:00,20.7141,70.9822,67.53,27,0,17.85
200,Peniche,PT,2021-02-05 23:56:10,39.3558,-9.3811,54.0,88,90,10.0
201,Jardim,BR,2021-02-05 23:58:00,-21.4803,-56.1381,70.97,78,13,4.14
202,Ondjiva,AO,2021-02-05 23:58:01,-17.0667,15.7333,74.19,50,66,5.75
203,Duncan,US,2021-02-05 23:56:24,34.5023,-97.9578,54.0,24,90,5.75
204,Ponta Delgada,PT,2021-02-05 23:58:01,37.7333,-25.6667,57.0,94,75,4.61
205,Lompoc,US,2021-02-05 23:54:16,34.6391,-120.4579,68.0,40,1,16.11
206,Doha,QA,2021-02-05 23:58:01,25.2867,51.5333,69.8,83,0,12.66
207,Huarmey,PE,2021-02-05 23:55:52,-10.0681,-78.1522,71.47,74,87,8.59
208,Novo Aripuana,BR,2021-02-05 23:58:01,-5.1206,-60.3797,76.66,94,95,1.9
209,Norman Wells,CA,2021-02-05 23:55:15,65.282,-126.8329,-27.4,68,75,2.3
210,Tiznit,MA,2021-02-05 23:58:02,29.5833,-9.5,50.43,78,71,7.4
211,Zhigansk,RU,2021-02-05 23:58:02,66.7697,123.3711,-42.92,76,53,4.52
212,Harare,ZW,2021-02-05 23:58:02,-17.8294,31.0539,66.0,85,64,1.99
213,Moron,AR,2021-02-05 23:54:38,-34.6534,-58.6198,73.0,66,0,3.0
214,Anadyr,RU,2021-02-05 23:58:02,64.75,177.4833,0.0,85,75,15.66
215,Carmen,MX,2021-02-05 23:54:49,18.6333,-91.8333,86.0,48,1,9.22
216,Husavik,IS,2021-02-05 23:56:00,66.0449,-17.3389,24.8,68,0,2.3
217,Deputatskiy,RU,2021-02-05 23:58:03,69.3,139.9,-24.2,88,92,2.13
218,Yarada,IN,2021-02-05 23:58:03,17.65,83.2667,62.6,88,0,2.3
219,Atar,MR,2021-02-05 23:58:03,20.5169,-13.0499,60.58,51,85,12.21
220,Alofi,NU,2021-02-05 23:58:04,-19.0595,-169.9187,78.8,89,100,14.97
